LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 289395.0, 1827840, 1.0, 289344.0, 45696, 23.0, 289394.0, 152320, -1828.0, 279112.0, 152564, -1840.0, 233024.0, 45696, 35015.0, 289753.0, 152320,
1, 13.0, 106907.0, 443232, 1.0, 106877.0, 23328, 23.0, 106906.0, 36936, -1828.0, 83237.0, 70731, -1840.0, 84319.0, 23328, 53375.0, 106923.0, 36936,
2, 13.0, 51039.0, 133120, 1.0, 51026.0, 13312, 23.0, 51046.0, 11100, -1828.0, 39997.0, 46586, -1362.0, -1.0, 13312, 51059.0, 51851.0, 11100,
3, 13.0, 76531.0, 199680, 1.0, 76510.0, 19968, 23.0, 76530.0, 16640, -1828.0, 72108.0, 78208, -1840.0, 70522.0, 19968, 76543.0, 77731.0, 16640,
4, 13.0, 76531.0, 199680, 1.0, 76510.0, 19968, 23.0, 76530.0, 16640, -1828.0, 72108.0, 78208, -1840.0, 70522.0, 19968, 76543.0, 77731.0, 16640,
