LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 664159.0, 7686525, 1.0, 661188.0, 34848, 23.0, 664234.0, 9002400, -1828.0, 660480.0, 7595134, -1840.0, 339781.0, 34848, 1346.0, 664742.0, 9002400,
1, 13.0, 2146987.0, 24122400, 1.0, 2146447.0, 614400, 23.0, 2146989.0, 27084800, -1828.0, 2146987.0, 24122400, -1840.0, 2061697.0, 614400, 1418.0, 2147479.0, 27084800,
2, 13.0, 844019.0, 7805952, 1.0, 843887.0, 884736, 23.0, 844023.0, 8921088, -1828.0, 843576.0, 7805952, -1840.0, 840586.0, 884736, 1706.0, 845313.0, 8921088,
3, 13.0, 1266035.0, 11708928, 1.0, 1265903.0, 1327104, 23.0, 1266039.0, 13381632, -1828.0, 1265342.0, 11708928, -1840.0, 1260879.0, 1327104, 1706.0, 1267311.0, 13381632,
4, 13.0, 859091.0, 7945344, 1.0, 858959.0, 884736, 23.0, 859093.0, 8921088, -1828.0, 857481.0, 7945344, -1840.0, 853935.0, 884736, 1706.0, 860385.0, 8921088,
