LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 13.0, 664159.0, 7686525, 1.0, 661188.0, 34848, 23.0, 664234.0, 9002400, -1828.0, 660480.0, 7595134, -1840.0, 339781.0, 34848, 1346.0, 664742.0, 9002400,
1, 13.0, 923387.0, 9439200, 1.0, 923169.0, 614400, 23.0, 923389.0, 10598400, -1828.0, 923387.0, 9439200, -1840.0, 886719.0, 614400, 1562.0, 924674.0, 10598400,
2, 13.0, 784883.0, 7096320, 1.0, 784762.0, 884736, 23.0, 784887.0, 8110080, -1828.0, 783527.0, 7096320, -1840.0, 781692.0, 884736, 1742.0, 786180.0, 8110080,
3, 13.0, 378995.0, 1064448, 1.0, 378973.0, 1327104, 23.0, 378999.0, 1216512, -1509.0, -1.0, 14976, -1840.0, 377469.0, 1327104, 5630.0, 380318.0, 1216512,
4, 13.0, 859091.0, 7945344, 1.0, 858959.0, 884736, 23.0, 859093.0, 8921088, -1828.0, 857481.0, 7945344, -1840.0, 853935.0, 884736, 1706.0, 860385.0, 8921088,
